epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,13707,0.52354,0.36802,0.95955,0.93968,0.83648,0.89027,0.62678,0.95278,0.45618,1.26068,0.000141443,0.000141443,0.000141443
83,13873.7,0.50958,0.36388,0.95709,0.93428,0.83685,0.89483,0.63378,0.96855,0.47329,1.27013,0.000134375,0.000134375,0.000134375
84,14040.2,inf,0.36022,0.95581,0.95526,0.82771,0.88967,0.63461,0.95898,0.49257,1.25266,0.000127306,0.000127306,0.000127306
85,14206.7,0.50471,0.35891,0.95357,0.9322,0.84885,0.89377,0.64357,0.93187,0.46997,1.25497,0.000120238,0.000120238,0.000120238
86,14373.8,0.50207,0.35371,0.95136,0.93888,0.83229,0.89445,0.63904,0.94364,0.47056,1.26026,0.000113169,0.000113169,0.000113169
87,14540.5,0.495,0.35447,0.95092,0.94903,0.83095,0.89606,0.63702,0.93186,0.45661,1.24386,0.0001061,0.0001061,0.0001061
88,14707.2,0.49114,0.34916,0.94368,0.954,0.83381,0.89927,0.63253,0.95559,0.46035,1.26534,9.90318e-05,9.90318e-05,9.90318e-05
89,14874,0.49219,0.34638,0.94463,0.95688,0.83206,0.89797,0.64431,0.93229,0.45138,1.25407,9.19632e-05,9.19632e-05,9.19632e-05
90,15041.3,0.48185,0.34222,0.94232,0.94368,0.83903,0.89088,0.64918,0.89164,0.44831,1.21655,8.48946e-05,8.48946e-05,8.48946e-05
91,15257.7,0.4723,0.28336,0.92293,0.93176,0.8443,0.89084,0.63636,0.92718,0.44572,1.24151,7.7826e-05,7.7826e-05,7.7826e-05
92,15423.6,0.46166,0.27384,0.91655,0.92922,0.83785,0.88942,0.64122,0.91954,0.44212,1.24415,7.07574e-05,7.07574e-05,7.07574e-05
93,15589.6,0.4538,0.27053,0.91449,0.94211,0.84704,0.89476,0.64406,0.92203,0.44698,1.24841,6.36888e-05,6.36888e-05,6.36888e-05
94,15755.7,0.4519,0.26838,0.91019,0.93179,0.85515,0.90166,0.65128,0.9244,0.44497,1.24742,5.66202e-05,5.66202e-05,5.66202e-05
95,15922.2,0.44821,0.26624,0.91321,0.94458,0.84894,0.89533,0.64728,0.89264,0.44997,1.21457,4.95516e-05,4.95516e-05,4.95516e-05
96,16088.2,0.43687,0.2578,0.90629,0.9562,0.83806,0.89991,0.64858,0.91777,0.4377,1.24479,4.2483e-05,4.2483e-05,4.2483e-05
97,16254.4,0.43145,0.25706,0.90188,0.94924,0.83634,0.89913,0.65294,0.89953,0.43302,1.2281,3.54144e-05,3.54144e-05,3.54144e-05
98,16421,0.42891,0.25493,0.90141,0.9441,0.84813,0.90315,0.65419,0.90945,0.42585,1.24307,2.83458e-05,2.83458e-05,2.83458e-05
99,16587.4,0.42678,0.25451,0.90165,0.9505,0.84428,0.90126,0.65374,0.90894,0.42541,1.2421,2.12772e-05,2.12772e-05,2.12772e-05
100,16753.3,0.41996,0.24892,0.89457,0.94527,0.84665,0.90627,0.65323,0.91076,0.43036,1.2454,1.42086e-05,1.42086e-05,1.42086e-05
